timestamp,seed,L_m,Np,Nt,td_fixed_count,tl_fixed_count,cond_n_throats,cond_n_positive,dir_rate,dir_D_eff,neu_rate_imposed,neu_rate_calc,neu_D_eff,porosity,tau_dir,tau_neu,error
2025-11-19T21:09:26.012458,42,5e-05,122,170,152,70,170,170,7.728150055502765e-15,1.545630011100553e-10,1e-12,1.0000000000000026e-12,1.414098799946805e-10,0.008368264503537037,1134.0976027725033,1239.584737946397,
2025-11-19T21:09:31.659749,43,5e-05,120,166,152,70,166,166,5.5019997316536335e-14,1.1003999463307267e-09,1e-12,1.0000000000000016e-12,1.0505535531202412e-09,0.011258471760524781,214.31346479900517,224.48215463394408,
2025-11-19T21:09:37.247408,44,5e-05,120,166,152,70,166,166,1.2079203655674263e-14,2.415840731134852e-10,1e-12,1.000000000000002e-12,2.1780288956855949e-10,0.0011054367543687188,95.84868883406872,106.314092971813,
2025-11-19T21:09:42.704056,42,5e-05,122,170,152,70,170,170,1.1098167447248912e-14,2.2196334894497826e-10,1e-12,1.000000000000003e-12,2.0549891495047552e-10,0.027910841814129336,2633.978598358295,2845.011181114531,
2025-11-19T21:09:48.043528,43,5e-05,120,166,152,70,166,166,2.6117770274021704e-14,5.223554054804341e-10,1e-12,9.999999999999994e-13,4.987217864767795e-10,0.005723998463655345,229.53768145324818,240.41510100367898,
2025-11-19T21:09:53.685522,44,5e-05,120,166,152,70,166,166,8.460003495366268e-15,1.6920006990732537e-10,1e-12,1.0000000000000034e-12,1.586616010583015e-10,0.0006438918115771141,79.71369476193163,85.00836142031564,
2025-11-19T21:09:59.348676,42,8e-05,122,170,152,70,170,170,9.200148445847916e-15,1.1500185557309894e-10,1e-12,1.0000000000000008e-12,1.0680616934750493e-10,0.01017732659031673,1853.742635624905,1995.988098386109,
2025-11-19T21:10:04.997112,43,8e-05,120,166,152,70,166,166,4.17248643193855e-14,5.215608039923187e-10,1e-12,9.99999999999999e-13,4.997744269780017e-10,0.004816794155639408,193.45221933173684,201.88526983834683,
2025-11-19T21:10:10.932031,44,8e-05,120,166,152,70,166,166,2.4854348414381116e-14,3.106793551797639e-10,1e-12,1e-12,3.018591457642508e-10,0.0016457946467691397,110.9644399500102,114.20677867576343,
2025-11-19T21:10:16.619908,42,8e-05,253,388,287,114,388,388,2.5569694504984326e-13,3.1962118131230407e-09,1e-12,9.999999999999974e-13,6.690010559245938e-10,0.019143136855700175,125.45793275497569,599.3863883626618,
2025-11-19T21:10:23.335627,43,8e-05,256,388,305,120,388,388,4.040600347552174e-14,5.050750434440217e-10,1e-12,1.0000000000000032e-12,4.503731320447948e-10,0.014129916086208612,586.0089488623371,657.1850633305362,
2025-11-19T21:10:31.757910,44,8e-05,270,408,322,128,408,408,1.854734175094204e-13,2.318417718867755e-09,1e-12,9.999999999999965e-13,9.343672336420552e-10,0.008827893861717465,79.76015530829496,197.90650899176825,
2025-11-19T21:10:39.916215,42,0.00012,186,270,233,98,270,270,1.2028457136830268e-13,1.002371428069189e-09,1e-12,9.99999999999997e-13,8.56482572803835e-10,0.011794194573054759,246.46779777248264,288.44986024351397,
2025-11-19T21:10:46.209023,43,0.00012,181,264,223,94,264,264,4.070265909086351e-14,3.3918882575719594e-10,1e-12,1e-12,2.7235622559890685e-10,0.010498404248593966,648.3392741376257,807.4331203681384,
2025-11-19T21:10:52.453826,44,0.00012,182,266,225,94,266,266,1.3094290889682845e-13,1.0911909074735705e-09,1e-12,9.999999999999988e-13,8.919910332306116e-10,0.00911630714183466,175.0002969282598,214.08144891510634,
2025-11-19T21:10:59.106562,42,0.00012,739,1230,690,244,1230,1230,8.750168263821468e-14,7.291806886517891e-10,1e-12,9.999999999999998e-13,5.325950869652835e-10,0.014501719093444006,416.5862248906918,570.3519198412065,
2025-11-19T21:11:04.968940,43,0.00012,736,1214,708,254,1214,1214,2.8502920570208053e-13,2.3752433808506712e-09,1e-12,9.999999999999986e-13,7.61471993814229e-10,0.014032774189277883,123.75307400137702,386.0203294008544,
2025-11-19T21:11:11.058607,44,0.00012,733,1212,709,250,1212,1212,3.2053899271647326e-13,2.6711582726372773e-09,1e-12,9.999999999999933e-13,1.1300249847156676e-09,0.014469241921869417,113.46625773174708,268.21206354265786,
2025-11-19T21:11:17.797320,42,0.0002,685,1130,662,236,1130,1130,3.1797821768021384e-13,1.5898910884010693e-09,1e-12,1.0000000000000012e-12,8.81968202277945e-10,0.012727154418506725,167.6812541888145,302.27272484217684,
2025-11-19T21:11:24.467587,43,0.0002,689,1132,672,242,1132,1132,5.1441339479845e-13,2.5720669739922496e-09,1e-12,1.0000000000000123e-12,2.5498166945597394e-09,0.014295402989365932,116.42190598342586,117.43782996953966,
2025-11-19T21:11:30.764826,44,0.0002,679,1120,660,234,1120,1120,8.879041952646344e-13,4.4395209763231725e-09,1e-12,9.999999999999986e-13,1.067315511150818e-09,0.01648910337800815,77.80034158378592,323.6121323243086,
2025-11-19T21:12:45.703493,42,5e-05,122,170,152,70,170,170,1.1458126652519635e-14,2.291625330503927e-10,1e-12,1.0000000000000022e-12,2.1131934527823962e-10,0.032658424441848674,2985.1914578092933,3237.252297991177,
2025-11-19T21:12:51.276784,43,5e-05,120,166,152,70,166,166,6.9312512824981e-14,1.3862502564996202e-09,1e-12,1.0000000000000028e-12,1.3273047061055903e-09,0.0068938171252516875,104.1690477954243,108.79519115804327,
2025-11-19T21:12:57.096224,44,5e-05,120,166,152,70,166,166,2.294375934046526e-14,4.588751868093052e-10,1e-12,9.99999999999999e-13,4.368915918268687e-10,0.002244905618068027,102.47645369404007,107.63288356220501,
2025-11-19T21:13:04.441201,44,5e-05,120,166,152,70,166,166,1.0470805331798745e-14,2.0941610663597492e-10,1e-12,1.0000000000000002e-12,1.9440390951698997e-10,0.0015867799989971074,158.71837624016115,170.97487641262438,
